job_title_short,job_title,job_location,job_via,job_schedule_type,job_work_from_home,search_location,job_posted_date,job_no_degree_mention,job_health_insurance,job_country,salary_rate,salary_year_avg,salary_hour_avg,company_name,job_skills,job_type_skills
Data Engineer,"Expert, Data Engineering (40000062)","Hanoi, Ho√†n Ki·∫øm, Hanoi, Vietnam",via LinkedIn Vietnam,Full-time,FALSE,Vietnam,13/03/2023 13:29,FALSE,FALSE,Vietnam,,,,Techcombank (TCB),"['sql', 'nosql', 'python', 'r', 'scala', 'java', 'rust', 'kotlin', 'hadoop', 'spark', 'kafka', 'tableau']","{'analyst_tools': ['tableau'], 'libraries': ['hadoop', 'spark', 'kafka'], 'programming': ['sql', 'nosql', 'python', 'r', 'scala', 'java', 'rust', 'kotlin']}"
Data Scientist,CI/XAB - Big data Hadoop developer,Vietnam,via Ai-Jobs.net,Full-time,FALSE,Vietnam,06/01/2023 13:45,FALSE,FALSE,Vietnam,year,50400,,Bosch Group,"['java', 'hadoop', 'spark', 'unix', 'sap', 'yarn']","{'analyst_tools': ['sap'], 'libraries': ['hadoop', 'spark'], 'os': ['unix'], 'other': ['yarn'], 'programming': ['java']}"
Data Analyst,ChuyÍn ViÍn Ph‚n TÌch D? Liáu (Data Analyst),Vietnam,via Glints,Full-time,FALSE,Vietnam,18/10/2023 13:29,TRUE,FALSE,Vietnam,,,,CÙng ty Cï ph?n Dãch v? Giao H‡ng Nhanh,"['sql', 'python', 'excel']","{'analyst_tools': ['excel'], 'programming': ['sql', 'python']}"
Data Engineer,Data Engineer,"Da Nang, H·∫£i Ch√¢u District, Da Nang, Vietnam",via Jobs.vn.indeed.com,Full-time and Part-time,FALSE,Vietnam,22/11/2023 13:59,FALSE,FALSE,Vietnam,,,,Vinova Pte. Ltd,"['bash', 'python', 'java', 'sql', 'postgresql', 'mysql', 'elasticsearch', 'airflow', 'spark', 'kafka', 'docker']","{'databases': ['postgresql', 'mysql', 'elasticsearch'], 'libraries': ['airflow', 'spark', 'kafka'], 'other': ['docker'], 'programming': ['bash', 'python', 'java', 'sql']}"
Data Engineer,"Expert, Data Engineering (40000062)","Hanoi, Vietnam",via LinkedIn Vietnam,Full-time,FALSE,Vietnam,25/08/2023 13:24,FALSE,FALSE,Vietnam,,,,Techcombank (TCB),"['sql', 'nosql', 'python', 'r', 'scala', 'java', 'rust', 'kotlin', 'hadoop', 'spark', 'kafka', 'tableau']","{'analyst_tools': ['tableau'], 'libraries': ['hadoop', 'spark', 'kafka'], 'programming': ['sql', 'nosql', 'python', 'r', 'scala', 'java', 'rust', 'kotlin']}"
Data Analyst,Sales Data Analyst (Contractor),"Ho Chi Minh City, Vietnam",via Jobs.vn.indeed.com,Full-time and Contractor,FALSE,Vietnam,04/12/2023 13:30,FALSE,FALSE,Vietnam,,,,Sony Electronics Vietnam,"['sql', 'vba', 'excel', 'power bi']","{'analyst_tools': ['excel', 'power bi'], 'programming': ['sql', 'vba']}"
Data Scientist,Data Scientist,"Hanoi, Ho√†n Ki·∫øm, Hanoi, Vietnam",via LinkedIn Vietnam,Full-time,FALSE,Vietnam,26/02/2023 13:12,FALSE,FALSE,Vietnam,,,,Trinh Le,"['python', 'pytorch', 'tensorflow']","{'libraries': ['pytorch', 'tensorflow'], 'programming': ['python']}"
Data Analyst,Marketing Data Analyst,"Ho Chi Minh City, Vietnam",via JobsGO,Full-time,FALSE,Vietnam,22/02/2023 13:38,FALSE,FALSE,Vietnam,,,,CÙng ty Cï Ph?n YouNet,"['word', 'excel', 'powerpoint']","{'analyst_tools': ['word', 'excel', 'powerpoint']}"
Data Engineer,EET Data Engineer,Vietnam,via AI Careers,Full-time,FALSE,Vietnam,31/05/2023 13:22,TRUE,FALSE,Vietnam,,,,Bosch Group,,
Data Scientist,Nh‚n ViÍn Data Scientist,"Hanoi, Vietnam",via Indeed,Full-time,FALSE,Vietnam,08/12/2023 13:36,FALSE,FALSE,Vietnam,,,,CÙng Ty Cï Ph?n CÙng Nghá ThÙng Tin 3T,"['python', 'git', 'jira']","{'async': ['jira'], 'other': ['git'], 'programming': ['python']}"
